ID,Nombre,Marca,Referencia,Categoria,Tipo de Producto,Grados de alcohol,Medida,Precio_Original,Precio_Final,Descuento_%,Precio_Unidad,URL_Producto,Descripcion
900489869_2121539878,Lucky Strike Cigarrillo Gin con Capsula,Lucky Strike,Turbo,Cigarrillos,Tabaco,N/A,10 UND,7200,7200,0%,720/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2121489051,Starlite Cigarrillo Azul 20 Und,Starlite,Turbo,Cigarrillos,Tabaco,N/A,20 UND,9100,9100,0%,455/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2122901719,Lucky Strike Cigarrillo Mora Ice 10 Und,Lucky Strike,Turbo,Cigarrillos,Tabaco,N/A,10 UND,7300,7300,0%,730/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2122768729,L&M Cigarrillo Purple+ 18 10 Und,L&M,Turbo,Cigarrillos,Tabaco,N/A,10 UND,4900,4900,0%,490/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2125090225,Lucky Strike Cigarrillo Sandia Ice 10 Und,Lucky Strike,Turbo,Cigarrillos,Tabaco,N/A,10 UND,7200,7200,0%,720/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2093536997,Marlboro Cigarrillo Rojo + 18 20 Und,Marlboro,Turbo,Cigarrillos,Tabaco,N/A,20 UND,13900,13900,0%,695/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2121155239,Marlboro Cigarrillo Gold + 18 20 Und,Marlboro,Turbo,Cigarrillos,Tabaco,N/A,20 UND,13900,13900,0%,695/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2122768731,L&M Cigarrillo Selección Azul + 18 10 Und,L&M,Turbo,Cigarrillos,Tabaco,N/A,10 UND,4300,4300,0%,430/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2093536998,Marlboro Cigarrillo Rojo + 18 10 Und,Marlboro,Turbo,Cigarrillos,Tabaco,N/A,10 UND,7000,7000,0%,700/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2122768730,L&M Cigarrillo Verde Rojo + 18 10 Und,L&M,Turbo,Cigarrillos,Tabaco,N/A,10 UND,4900,4900,0%,490/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2121539843,Starlite Cigarrillo Azul 10 Und,Starlite,Turbo,Cigarrillos,Tabaco,N/A,10 UND,4600,4600,0%,460/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900489869_2122235739,Rothmans Cigarrillo Azul 20 Und,Rothmans,Turbo,Cigarrillos,Tabaco,N/A,20 UND,12900,12900,0%,645/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Turbo (Turbo Panini Ya) | Zona: Chicó / Chapinero / Zona Rosa
900434592_2121691036,Lucky Strike Cigarrillo Gin con Capsula,Lucky Strike,Oxxo,Cigarrillos,Tabaco,N/A,10 UND,7200,7200,0%,720/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Oxxo (Oxxo Super) | Zona: Chicó / Chapinero / Zona Rosa
900434592_2122798501,L&M Cigarrillo Selección Azul + 18 10 Und,L&M,Oxxo,Cigarrillos,Tabaco,N/A,10 UND,4300,4300,0%,430/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Oxxo (Oxxo Super) | Zona: Chicó / Chapinero / Zona Rosa
900434592_2121199040,Lucky Strike Cigarrillo Daiquiri Caja x10,Lucky Strike,Oxxo,Cigarrillos,Tabaco,N/A,10 UND,7200,7200,0%,720/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Oxxo (Oxxo Super) | Zona: Chicó / Chapinero / Zona Rosa
900434592_2121589960,Marlboro Cigarrillo Rojo + 18 20 Und,Marlboro,Oxxo,Cigarrillos,Tabaco,N/A,20 UND,14000,14000,0%,700/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Oxxo (Oxxo Super) | Zona: Chicó / Chapinero / Zona Rosa
900434592_2122798558,Lucky Strike Cigarrilo Alaska 10 Und,Lucky Strike,Oxxo,Cigarrillos,Tabaco,N/A,10 UND,7200,7200,0%,720/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Oxxo (Oxxo Super) | Zona: Chicó / Chapinero / Zona Rosa
900434592_2125849301,Cigarrillo L&M Silver Evo Cajetilla + 18 20 Und,L&M,Oxxo,Cigarrillos,Tabaco,N/A,1 UND,9100,9100,0%,9100/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Oxxo (Oxxo Super) | Zona: Chicó / Chapinero / Zona Rosa
900434592_2121198551,Marlboro Cigarrillo Gold + 18 20 Und,Marlboro,Oxxo,Cigarrillos,Tabaco,N/A,20 UND,14000,14000,0%,700/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Oxxo (Oxxo Super) | Zona: Chicó / Chapinero / Zona Rosa
900434592_2125849297,Marlboro Cigarrillo Summer Vista + 18 20 Und,Marlboro,Oxxo,Cigarrillos,Tabaco,N/A,20 UND,14400,14400,0%,720/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Oxxo (Oxxo Super) | Zona: Chicó / Chapinero / Zona Rosa
900434592_2121198611,Marlboro Cigarrillo Rojo + 18 10 Und,Marlboro,Oxxo,Cigarrillos,Tabaco,N/A,10 UND,7000,7000,0%,700/und,https://www.rappi.com.co/search?query=cigarrillos,Tienda Rappi: Oxxo (Oxxo Super) | Zona: Chicó / Chapinero / Zona Rosa
